expert_id,tier,bits,num_elements,cosine
0,hot,8,16384,0.999993
0,warm,4,16384,0.997528
0,cold,2,16384,0.919077
1,hot,8,16384,0.999993
1,warm,4,16384,0.997542
1,cold,2,16384,0.918763
2,hot,8,16384,0.999992
2,warm,4,16384,0.997538
2,cold,2,16384,0.920003
3,hot,8,16384,0.999992
3,warm,4,16384,0.99753
3,cold,2,16384,0.916948
4,hot,8,16384,0.999992
4,warm,4,16384,0.997512
4,cold,2,16384,0.918404
5,hot,8,16384,0.999993
5,warm,4,16384,0.997505
5,cold,2,16384,0.91946
6,hot,8,16384,0.999993
6,warm,4,16384,0.997495
6,cold,2,16384,0.920258
7,hot,8,16384,0.999992
7,warm,4,16384,0.997565
7,cold,2,16384,0.919294
